id,perenualid,commonname,scientificname,imageurl,watering,sunlight,plantdescription,carelevel,mintemperature,maxtemperature
1,7168,Lengua de trigre,Dracaena trifasciata,https://i.ibb.co/JqQmkMh/lengua-tigre.png,MODERATE,Luz indirecta media a brillante,La Lengua de Tigre (Sansevieria trifasciata) es una planta herbácea perenne conocida por sus hojas puntiagudas y su patrón de rayas distintivo que se asemeja a la piel de un tigre. Es una planta fácil de cuidar y tolerante a condiciones de poca luz y sequía. Su capacidad para purificar el aire la hace ideal para interiores.,LOW,7,21
4,7463,Espatifilo gigante,Spathiphyllum sensation,https://i.ibb.co/TBsBBsr/espafilito.webp,REGULAR,Luz indirecta baja a media,El Espatifilo Gigante (Spathiphyllum) es una planta de interior popular apreciada por sus grandes hojas verdes brillantes y sus elegantes flores blancas en forma de espádice. Es conocida por su capacidad para purificar el aire al eliminar toxinas como el formaldehído y el benceno.,"LOW ",18,24
9,2961,Ficus Robusta,Ficus Elastica,https://i.ibb.co/tBxFZqx/ficus-robusta.jpg,REGULAR,Luz indirecta brillante,"El Ficus Robusta es una planta de interior resistente y de rápido crecimiento conocida por sus hojas grandes y brillantes. Es una planta popular para agregar un toque de verdor a los espacios interiores y se adapta bien a condiciones de luz moderada. Es importante tener cuidado con su savia lechosa, que puede causar irritación en la piel.",MEDIUM,16,21
7,2193,Planta de jade,"Crassula ovata
",https://i.ibb.co/xjCDPN6/arbol-jade.jpg,INFREQUENT,Luz indirecta brillante,La Planta de Jade es una suculenta perenne conocida por sus hojas carnosas y su tallo grueso y leñoso. Es una planta resistente y fácil de cuidar que se cree que trae buena suerte y prosperidad según la tradición del Feng Shui. Es una excelente opción para principiantes en la jardinería de interior.,LOW,18,24
5,728,Aloe Vera,Aloe barbadensis miller,https://i.ibb.co/rsnytMv/aloevera.jpg,INFREQUENT,Luz indirecta brillante,El Aloe Vera es una planta suculenta resistente y de bajo mantenimiento conocida por sus hojas carnosas y su gel interior curativo. Se ha utilizado durante siglos en la medicina tradicional por sus propiedades calmantes y cicatrizantes para la piel.,LOW,17,27
13,5465,Helecho Espada,Nephrolepis exaltata,https://i.ibb.co/2gktggT/helechoespada.jpg,REGULAR,Luz indirecta media a brillante,El Helecho Espada es una planta de interior popular conocida por sus frondes largas y arqueadas que se asemejan a espadas. Es una planta de bajo mantenimiento que tolera bien la humedad y es ideal para baños y cocinas. Sus hojas verdes brillantes agregan un toque de frescura a cualquier espacio interior.,LOW,3,21
3,3849,Tomate Cherry,Lycopersicum,https://i.ibb.co/1Tnb9C4/cherry.jpg,REGULAR,Sol pleno,"El tomate cherry (Solanum lycopersicum var. cerasiforme) es una variedad de tomate de pequeño tamaño con frutos redondos y dulces. Es una planta fácil de cultivar en el jardín o en macetas y produce una abundancia de tomates que son perfectos para ensaladas, bocadillos y conservas.",MEDIUM,20,
10,5257,Costilla de Adán,Monstera Deliciosa,https://i.ibb.co/tbTcmMW/mostrera.webp,REGULAR,Luz indirecta media a brillante,La Costilla de Adán es una planta trepadora perenne conocida por sus grandes hojas perforadas y su aspecto exótico. Es una planta de interior popular que puede alcanzar grandes tamaños y es apreciada por su fácil cuidado y su capacidad para añadir un toque tropical a cualquier espacio.,MEDIUM,18,27
2,3013,Fresas,Fragaria vesca,https://i.ibb.co/fGF7kXV/fresas.jpg,FREQUENT,Sol pleno a sombra parcial,La fresa (Fragaria) es una planta pequeña y perenne que produce frutos rojos dulces y jugosos durante la temporada de crecimiento. Es una planta versátil que puede crecer en macetas o en el suelo y es apreciada por su sabor delicioso y sus beneficios para la salud.,MEDIUM,14,25
15,7918,Reo,Tradescantia spathacea,https://i.ibb.co/b5mCTq4/reo.jpg,REGULAR,Luz indirecta baja a media,"El Reo es una planta perenne de interior con hojas gruesas y verdes oscuro con una franja plateada en el centro. Es una planta resistente y fácil de cuidar que es ideal para principiantes en la jardinería de interior. También se conoce como ""Moses-in-the-cradle"" por sus pequeñas flores blancas que emergen de la base de las hojas.",LOW,4,21
16,4456,Jazmin,"Jasminum grandiflorum ",https://i.ibb.co/Kr3q3NT/jazmin.jpg,REGULAR,Sol pleno a sombra parcial,"El Jazmín es una planta trepadora de floración perenne conocida por sus flores fragantes y atractivas. Sus flores blancas o amarillas desprenden un aroma dulce y embriagador, lo que lo convierte en una opción popular para jardines y áreas al aire libre. El Jazmín florece mejor en climas cálidos y soleados, pero también puede tolerar algo de sombra parcial.",MEDIUM,3,30
12,3349,Hiedra,"Hedera helix ""Golden Marco""",https://i.ibb.co/jLz5r39/hiedrajpg.jpg,REGULAR,Luz indirecta baja a media,"La Hiedra es una planta trepadora perenne apreciada por su follaje denso y su capacidad para cubrir áreas sombrías en el jardín o en el interior. Es una planta versátil que puede crecer en una variedad de condiciones y es ideal para enrejados, macetas colgantes y como cubierta de suelo.",LOW,-1,18
11,7101,Romero,Salvia rosmarinus,https://i.ibb.co/Kx22Cg8/romero.jpg,INFREQUENT,Sol pleno,El Romero es un arbusto perenne aromático conocido por sus hojas estrechas y fragantes. Es una planta resistente y de fácil cuidado que es apreciada tanto por sus cualidades culinarias como medicinales. Sus hojas se utilizan comúnmente como condimento en una variedad de platos y también se cree que tienen propiedades estimulantes y revitalizantes.,LOW,-3,40
14,8755,Collar de Perlas,Senecio rowleyanus,https://i.ibb.co/4T44K90/rosario.jpg,INFREQUENT,Luz indirecta brillante," El Collar de Perlas es una planta suculenta perenne conocida por sus tallos colgantes y sus hojas redondas y perladas. Es una planta única que es fácil de cuidar y es apreciada por su aspecto decorativo y su capacidad para formar hermosos racimos de perlas.",LOW,3,21
8,1847,Cinta / Malamadre,Chlorophytum comosum,https://i.ibb.co/Gv52Sw9/malamadre.webp,REGULAR,Luz indirecta baja a media,"La Cinta, también conocida como Malamadre, es una planta perenne popular por sus largas hojas arqueadas y sus pequeñas flores blancas. Es una planta de bajo mantenimiento que es apreciada por su capacidad para purificar el aire y su facilidad de propagación mediante la formación de hijuelos.",LOW,15,25
6,5497,Albahaca,Ocimum basilicum,https://i.ibb.co/7WVSGCM/albahaca.webp,FREQUENT,Sol pleno,"La albahaca es una hierba aromática anual apreciada por su delicioso aroma y sabor distintivo. Es una planta fácil de cultivar en macetas o en el jardín y es un ingrediente versátil en la cocina, utilizado en una variedad de platos como ensaladas, pastas y pesto.",MEDIUM,20,25
17,,Asiento de la suegra,Echinocactus grusonii,https://i.ibb.co/ZY5DxBx/asiento-suegra.jpg,INFREQUENT,Luz indirecta baja a brillante,"El Asiento de la suegra es una planta suculenta perenne reconocida por sus hojas rígidas y erectas que crecen verticalmente desde el suelo. Es una planta resistente y tolerante a la sequía que es ideal para interiores debido a su capacidad para prosperar en condiciones de poca luz. Además, se cree que purifica el aire al absorber toxinas y liberar oxígeno durante la noche.",LOW,-7,